Date,Time,Event,Asset,Rate,Currency,Amount,Amount_Unit,AUD_Value,Fee_Amount,Fee_Unit,Fee_AUD,Balance,Balance_Unit
12/03/2022,10:59:59,REWARD,SOL,,,0.00040427,SOL,0.04539366,0.000,SOL,0,2.27210573,SOL
12/03/2022,10:59:59,REWARD,MATIC,,,0.08255909,MATIC,0.16128615,0.000,MATIC,0,251.37252562,MATIC
12/03/2022,10:59:59,REWARD,LUNC,,,0.00044810,LUNC,0.05643617,0.000,LUNC,0,2.04638411,LUNC
13/03/2022,10:59:59,REWARD,SOL,,,0.00040434,SOL,0.04515774,0.000,SOL,0,2.27251007,SOL
13/03/2022,10:59:59,REWARD,MATIC,,,0.08258621,MATIC,0.15930046,0.000,MATIC,0,251.45511183,MATIC
13/03/2022,10:59:59,REWARD,LUNC,,,0.00044820,LUNC,0.05310471,0.000,LUNC,0,2.04683231,LUNC
14/03/2022,10:59:59,REWARD,SOL,,,0.00040442,SOL,0.04388475,0.000,SOL,0,2.27291449,SOL
14/03/2022,10:59:59,REWARD,MATIC,,,0.08261334,MATIC,0.15337024,0.000,MATIC,0,251.53772517,MATIC
14/03/2022,10:59:59,REWARD,LUNC,,,0.00044830,LUNC,0.05440907,0.000,LUNC,0,2.04728061,LUNC
15/03/2022,10:59:59,REWARD,SOL,,,0.00040449,SOL,0.04538242,0.000,SOL,0,2.27331898,SOL
15/03/2022,10:59:59,REWARD,MATIC,,,0.08264049,MATIC,0.15684089,0.000,MATIC,0,251.62036566,MATIC
15/03/2022,10:59:59,REWARD,LUNC,,,0.00044840,LUNC,0.05892724,0.000,LUNC,0,2.04772901,LUNC
16/03/2022,10:59:59,REWARD,SOL,,,0.00040456,SOL,0.04661018,0.000,SOL,0,2.27372354,SOL
16/03/2022,10:59:59,REWARD,MATIC,,,0.08266764,MATIC,0.15840737,0.000,MATIC,0,251.7030333,MATIC
16/03/2022,10:59:59,REWARD,LUNC,,,0.00044850,LUNC,0.05479684,0.000,LUNC,0,2.04817751,LUNC
17/03/2022,10:59:59,REWARD,SOL,,,0.00040463,SOL,0.04824001,0.000,SOL,0,2.27412817,SOL
17/03/2022,10:59:59,REWARD,MATIC,,,0.08269480,MATIC,0.1651283,0.000,MATIC,0,251.7857281,MATIC
17/03/2022,10:59:59,REWARD,LUNC,,,0.00044860,LUNC,0.05394772,0.000,LUNC,0,2.04862611,LUNC
18/03/2022,10:59:59,REWARD,SOL,,,0.00040470,SOL,0.04748558,0.000,SOL,0,2.27453287,SOL
18/03/2022,10:59:59,REWARD,MATIC,,,0.08272197,MATIC,0.16068499,0.000,MATIC,0,251.86845007,MATIC
18/03/2022,10:59:59,REWARD,LUNC,,,0.00044869,LUNC,0.05207302,0.000,LUNC,0,2.0490748,LUNC
19/03/2022,10:59:59,REWARD,SOL,,,0.00040478,SOL,0.04965745,0.000,SOL,0,2.27493765,SOL
19/03/2022,10:59:59,REWARD,MATIC,,,0.08274914,MATIC,0.16843997,0.000,MATIC,0,251.95119921,MATIC
